chunk_id,content,content_length,chapter,class,content_type,difficulty,page,paragraph_index,source_file,subject,topic
fecu103_20260201_103715_19_759daea1,"3.6 Food Miles: From Farm to Our Plate How does food reach from a farm to our plate? What are the steps involved in this process? Who are the people involved in this process? Do you know how much time and effort is required to get the wheat flour once seed grains germinate in the farm? Let us look at Fig. 3.10 to understand the entire process of making the chapati that we eat. Farmer growing wheat Food on our plate Threshing and winnowing of grains STORY OF CHAPATI: FROM FARM TO PLATE Storage of Transport to retail shop grains Grinding of grains and packing Fig. 3.10: From farm to plate The entire distance travelled by a bag of wheat or any other food item, from the producer to the consumer, is known as its food miles. Reducing food miles is important because it helps to cut down the cost and pollution during its transport; it helps support local farmers; and it also keeps our food fresh and healthy. 54 Reprint 2025-26 Chapter 3.indd 54 10/4/2024 3:21:27 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1013,Unknown,6,example,easy,20,0,fecu103.pdf,Science,Food Miles: From Farm to Our Plate
fecu103_20260201_103715_1_66831df3,"Table 3.1: Food items consumed over a week Day Food items Monday Tuesday Wednesday Thursday Friday Saturday Sunday What observations can you make about your food from the data collected in Table 3.1? Do you eat the same kind of food in every meal or do your choices vary? Compare your list with those prepared by your friends. Find similarities and differences in the food consumed by you and your friends. What did you find? Record your findings in your notebook. You may have noticed that there is a variety in the food eaten by you and your friends. Do you think that such diversity in food exists in all states of our country? 3.1.1 Food in different regions Activity 3.2: Let us explore  Find out the types of food traditionally consumed and the crops grown in various states of India. You may refer to books in your library, search the internet, and interact with your friends, family and neighbours to collect information. 36 Reprint 2025-26 Chapter 3.indd 36 10/4/2024 3:16:48 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1030,Unknown,6,example,easy,2,0,fecu103.pdf,Science,Food in different regions
fecu103_20260201_103715_20_8e4e5ac2,"Many people waste food, leaving it How would unconsumed on their plates. One must eating local remember the time and effort put by our food help ? farmers and other community members in reduce food getting the food from the farm to our plate. miles? We must take only as much food as we can consume. It would reduce food wastage. Try to find the timeline for the various processes involved in getting the food from farm to plate (Fig. 3.10). Eat healthy, share, and respect food. Support local producers! Keywords Carbohydrate Millets Analyse Culinary practices Minerals Compare Deficiency diseases Nutrients Infer Fats Proteins Interpret Food components Rickets Investigate Food miles Roughage Observe Iodized salt Scurvy Prediction Vitamins Survey Summary  People across India eat diverse types of food, containing various food components.  Choice of food may vary according to the cultivation of food crops in a region, taste preferences, culture and traditions, and so on. 55 Reprint 2025-26 Chapter 3.indd 55 10/4/2024 3:21:46 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1077,Unknown,6,question,easy,21,0,fecu103.pdf,Science,Food Miles: From Farm to Our Plate
fecu103_20260201_103715_21_7c0cfd8d," Culinary practices have changed over time. There is a significant difference between traditional and modern methods of cooking food.  Food provides us energy, support growth, repairs our bodies and protects us from diseases.  The major nutrients in our food are carbohydrates, fats, proteins, vitamins, and minerals. In addition, food also contains dietary fibres and water.  Carbohydrates and fats are primary energy sources, while proteins are body-building nutrients.  Vitamins and minerals strengthen our body, protect us from infections, and keep us healthy.  A balanced diet provides all the essential nutrients in the right quantities, along with adequate roughage and water.  Deficiency of one or more nutrients in our diet for a long time can lead to deficiency diseases and disorders.  Junk foods are unhealthy as they contain high levels of sugar and fats but little protein, minerals, vitamins, and dietary fibres.  Millets are known as nutri-cereals as they provide most of the nutrients required for the normal functioning of our bodies. They can be easily cultivated in different climatic conditions.  Eating food that is locally grown and plant-based, to the extent possible, is not only healthy for our bodies but is also good for our environment and our planet.  The distance travelled by a food item, from the place of its production to the consumer, is called food miles. We must aim to minimise food miles.  We should never waste food and only take as much as we can consume. Let us enhance our learning 1. Pick the odd one out and give reasons: (i) Jowar, Bajra, Ragi, Chana (ii) Kidney beans, Green gram, Soya bean, Rice 56 Reprint 2025-26 Chapter 3.indd 56 10/7/2024 9:52:32 AM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1756,Unknown,6,definition,easy,22,0,fecu103.pdf,Science,Food Miles: From Farm to Our Plate
fecu103_20260201_103715_22_945469da,"2. Discuss traditional versus modern culinary practices in India. 3. A teacher says that good food may act as medicine. Ravi is curious about this statement and has some questions for his teacher. List at least two questions that he can ask. 4. Not all delicious foods are necessarily healthy, while not all nutritious foods are always enjoyable. Share your thoughts along with a few examples. 5. Medu does not eat vegetables but enjoys biscuits, noodles and white bread. He often has stomach ache and constipation. What changes should he make in his diet to get rid of these problems? Explain your answer. 6. Reshma had trouble seeing things in dim light. The doctor tested her eyesight and prescribed a particular vitamin supplement. He also advised her to include a few food items in her diet. (i) Which deficiency disease is she suffering from? (ii) Which food component may be lacking in her diet? (iii) Suggest some food items that she should include in her diet to overcome this problem (any four). 7. You are provided the following: (i) Canned fruit juice (ii) Fresh fruit juice (iii) Fresh fruit Which one would you prefer and why? 8. Gourav got a fracture in his leg. His doctor aligned the bones and put on a plaster. The doctor also gave him calcium tablets. On the second visit, the doctor gave him Vitamin D syrup along with calcium tablets. Refer to Fig. 3.5 and answer the following questions: (i) Why did the doctor give calcium tablets to Gourav? (ii) On the second visit, why did the doctor give Vitamin D syrup along with calcium tablets? (iii) What question arises in your mind about the choices made by the doctor in giving the medicines? 57 Reprint 2025-26 Chapter 3.indd 57 10/4/2024 3:21:53 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1759,Unknown,6,example,easy,23,0,fecu103.pdf,Science,and answer the
fecu103_20260201_103715_23_94bba0b1,"9. Sugar is an example of carbohydrates. Sugar is tested with iodine solution but it does not change to blue-black colour. What can be a possible reason? 10. What do you think of Raman’s statement, “All starches are carbohydrates but not all carbohydrates are starches.’’ Describe the design of an activity to test your answer. 11. While using iodine in the laboratory, a few drops of iodine fell on Mishti’s socks and a few fell on her teacher’s saree. The drops of iodine on the saree turned blue-black while the colour on the socks did not change. What can be a possible reason? 12. Why are millets considered a healthy choice of food? Can eating just millets suffice for the nutritional requirements of the body? Discuss. 13. You are given a sample of a solution. How would you check the possibility of it being an iodine solution? Learning further  Help your mother in unpacking the packets of various food items after shopping for grocery next time. Read the nutritional information of at least three fortified food items and analyse those.  The Apatani tribe of Arunachal Pradesh produces a salt called tapyo to fulfil their dietary requirements. Collect more information from the internet about their salt making process and the need to make their own salt. Collect pictures and paste them on a chart paper. Also, write a paragraph about the process of making this salt and its usefulness.  Vegetables or fruits that grow naturally in the forest or nearby fields without being cultivated by farmers are considered wild varieties. Traditionally, many tribal groups in India depend on these wild varieties, which form a part of their food. Read about ranbhajis from Maharashtra and edible mushrooms from Himachal Pradesh. Are you aware of any such wild varieties of food from your region? Discuss in class. 58 Reprint 2025-26 Chapter 3.indd 58 10/4/2024 3:22:16 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1915,Unknown,6,example,easy,24,0,fecu103.pdf,Science,and answer the
fecu103_20260201_103715_24_a567f4a8," List junk foods you eat frequently. Ask your friends also to make such lists. On the basis of these lists, write a letter to your principal requesting to ban certain junk foods inside the school campus. Suggest some healthy options.  Find out the variation in nutritional requirements of different individuals based on age, physical activity and health conditions. Record your observations. Discuss and analyse.  Prepare a diet chart to provide a balanced diet to a twelve-year-old child. The diet chart should include food items that are not expensive and are commonly available in your area. 59 Reprint 2025-26 Chapter 3.indd 59 10/4/2024 3:22:16 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",696,Unknown,6,explanation,easy,25,0,fecu103.pdf,Science,and answer the
fecu103_20260201_103715_25_47dfae3c,Notes Reprint 2025-26 Chapter 3.indd 60 10/4/2024 3:22:16 PM,60,Unknown,6,explanation,easy,26,0,fecu103.pdf,Science,and answer the
fecu103_20260201_103715_2_f43d29b4," In Table 3.2, add more states and fill the collected data. A few examples are already given. Table 3.2: Some traditional food items in various states of India Locally grown Traditional food items State Beverages crops eaten Maize, Makki di roti, sarson da Lassi, chhach wheat, Punjab saag, chhole bhature, (buttermilk), chickpea, parantha, halwa, kheer milk, tea pulses Buttermilk, Idli, dosa, sambhar, Rice, ragi, coffee, Karnataka coconut chutney, ragi urad, coconut tea mudde, palya, rasam, rice Rice, eromba (chutney), Rice, utti (yellow peas and Manipur bamboo, Black Tea green onion curry) singju, soya bean What observations can you make about your food from the kangsoi data collected in Table 3.1? Do you eat the same kind of food Any other in every meal or do your choices vary? Compare your list with those prepared by your friends. Find similarities and differences in the food consumed by you and your friends. Why do we see diversity in traditional food consumed in various states of our country? What did you find? Record your findings in your notebook. Analyse the data collected by you in Table 3.2. Are there You may have noticed that there is a variety in the food food items that are common across states? Make a list of eaten by you and your friends. those food items. You may find that some food items are Do you think that such diversity in food exists in all states common in many states while some are eaten only in a of our country? particular state. What relation do you find between the traditional food 3.1.1 Food in different regions items and the locally grown crops? You must have observed that the traditional food of any state is usually based on the Activity 3.2: Let us explore crops grown in that state. India is an agricultural country  Find out the types of food traditionally consumed and with diverse soil and climate types. Various crops are the crops grown in various states of India. You may grown in its different regions depending on the soil refer to books in your library, search the internet, and types and climatic conditions. In various regions of India, the choice of food may vary interact with your friends, family and neighbours to according to the cultivation of food crops in that particular collect information. region, taste preferences, culture, and traditions. 37 Reprint 2025-26 Chapter 3.indd 37 10/4/2024 3:16:48 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",2423,Unknown,6,example,easy,3,0,fecu103.pdf,Science,Food in different regions
fecu103_20260201_103715_3_f0639595,"3.1.2 How have cooking practices changed What are your findings from the interviews you conducted? Cooking practices, also called culinary practices, have over time? changed over time. There is a significant difference between You have learnt that food habits vary across states. Our food traditional and modern culinary practices. Earlier, most choices as well as practices of food preparation may differ cooking was done using a chulha (Fig. 3.1a). Nowadays, most from one another. Have our food habits and cooking practices of us cook using a modern gas stove (Fig. 3.1b). Earlier, most changed over time? grinding was done manually using a sil-batta (Fig. 3.1c). These days, we use an electrical grinder for ease of grinding Activity 3.3: Let us interact and find out (Fig. 3.1d). Find out what were the other ways of cooking and grinding. Why have these culinary practices changed  Prepare a list of questions for gathering information over time? These changes may be due to factors such as from elderly people about their food habits and cooking technological development, improved transportation and practices. Following are some of the sample questions — better communication.  What kind of food do you still eat and what is new?  What are the changes in cooking practices over time? 3.2 What are the Components of Food?  What has caused these changes? Medu and Mishti visit the ‘Traditional Food Festival’  Conduct interviews with some elderly people based on organised in their school. The theme of the festival is ‘Eat the questions prepared. Healthy, Live Healthy’. (a) Chulha (Traditional stove) (b) Modern gas stove (c) Sil-batta (Stone grinder) (d) Electrical grinder Fig. 3.1: Change in cooking tools over time 38 Reprint 2025-26 Chapter 3.indd 38 10/4/2024 3:17:01 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1831,Unknown,6,example,easy,4,0,fecu103.pdf,Science,How have cooking practices changed What are your findings from the interviews you conducted?
fecu103_20260201_103715_4_f59eb9fe,"3.1.2 How have cooking practices changed What are your findings from the interviews you conducted? Cooking practices, also called culinary practices, have over time? changed over time. There is a significant difference between You have learnt that food habits vary across states. Our food traditional and modern culinary practices. Earlier, most choices as well as practices of food preparation may differ cooking was done using a chulha (Fig. 3.1a). Nowadays, most from one another. Have our food habits and cooking practices of us cook using a modern gas stove (Fig. 3.1b). Earlier, most changed over time? grinding was done manually using a sil-batta (Fig. 3.1c). These days, we use an electrical grinder for ease of grinding Activity 3.3: Let us interact and find out (Fig. 3.1d). Find out what were the other ways of cooking and grinding. Why have these culinary practices changed  Prepare a list of questions for gathering information over time? These changes may be due to factors such as from elderly people about their food habits and cooking technological development, improved transportation and practices. Following are some of the sample questions — better communication.  What kind of food do you still eat and what is new?  What are the changes in cooking practices over time? 3.2 What are the Components of Food?  What has caused these changes? Medu and Mishti visit the ‘Traditional Food Festival’  Conduct interviews with some elderly people based on organised in their school. The theme of the festival is ‘Eat the questions prepared. Healthy, Live Healthy’. स्वस्थ आहार, स्वस्थ जी्वन Eat Healthy, Live Healthy The festival features various stalls displaying different kinds of traditional dishes. Dr Poshita, a nutritional expert, explains to students that ʻHealth is the Ultimate Wealthʼ. 39 Reprint 2025-26 Chapter 3.indd 39 10/4/2024 3:17:16 PM htaP A :gnitaE lufdniM ydoB yhtlaeH a ot",1913,Unknown,6,example,easy,5,0,fecu103.pdf,Science,How have cooking practices changed What are your findings from the interviews you conducted?
fecu103_20260201_103715_5_d2fba3d0,"Let us understand what Dr Poshita means by this statement. Have you ever missed a meal? How do you feel when you miss a meal? We feel tired and less energetic when we do not eat for some time. Why do you think a marathon runner drinks glucose water during and after a race? Glucose provides instant Potato Sugarcane Banana energy. Glucose is an example of a carbohydrate. Carbohydrates Sweet are one of the primary sources potato of energy in our diet. Cereals like Wheat Pineapple wheat, rice, and maize, vegetables Rice Mango like potato and sweet potato, and fruits like banana, pineapple, Bajra Maize and mango are some sources of Fig. 3.2: Some sources of carbohydrates carbohydrates (Fig. 3.2). Do you know that common sugar is also a type of carbohydrate? Why do you think we prefer to have laddoos as a part of our traditional diet in winters? Besan or wheat flour (aata) and ghee are among the main ingredients of laddoos along with goond (edible gum), nuts, and seeds. Ghee and various kinds of oils are grouped under another kind of food component, which is called fat. Sources of fats can be from plants or animals (Fig. 3.3). Nuts, Yes, my grandma told such as groundnuts, walnuts, me that laddoos rich in coconuts, and almonds, and ghee and nuts provide energy to keep us warm. seeds, such as pumpkin seeds and sunflower seeds, are some sources of fat. Fat is a source of stored energy. 40 Reprint 2025-26 Chapter 3.indd 40 10/4/2024 3:17:26 PM 6 edarG | ecneicS fo koobtxeT | ytisoiruC",1500,Unknown,6,definition,easy,6,0,fecu103.pdf,Science,How have cooking practices changed What are your findings from the interviews you conducted?
